bond_handle,bond_name,market,stock_exchange,tranche_currency,volume_offered_tranche_currency,volume_raised_tranche_currency,bond_currency,volume_raised_bond_currency,volume_raised_usd
3138cc32cdef45918af3cade062653bd,FEFA 18V,Mexico,NA,MXN,2500000000,2500000000,MXN,2500000000,128733264
3b70961fc8884f169dc04b9d539085f2,FEFA 19V,Mexico,NA,MXN,2500000000,2500000000,MXN,2500000000,128932439
75ebf4bea1c94bb19c2ffc24f937cac8,CRA Tabôa Fortalecimento,Brazil,NA,BRL,1050000,1050000,BRL,1050000,208416
939ba0f096214b298b1b949ef2ad6ad7,CRA Coopan,Brazil,NA,BRL,1500000,1500000,BRL,1500000,255972
591bdf3d52c84e4b9abd76b03591ae92,Clase II,Argentina,NA,ARS,1109925000,1109925000,ARS,1109925000,15000000
0a375fceacec416eab4e7bd776b260c3,Clase I,Argentina,NA,USD,35160000,35160000,USD,35160000,35160000
cf66b508001443ac91da2b4215b60b7b,Programa Vivenda,Brazil,NA,BRL,5000000,5000000,BRL,5000000,1582000
ac2ab3efa2a8455089d589306434edbb,CRA Produzindo Certo,Brazil,NA,BRL,63345000,63345000,BRL,63345000,11236438
19a9b617aa704f8285094522d06a5367,Neoenergia - 6ª emissão de debêntures,Brazil,NA,BRL,1294449000,1294449000,BRL,1294449000,343437160
8b6c8d33bb7747b3b7811d6ebf1edd18,Neoenergia Itabapoana - 1ª Emissão de Debêntures,Brazil,NA,BRL,300000000,300000000,BRL,300000000,67039106
6f267b54dd6942f79b3910d04d4f7d65,BTG Pactual Green Bond,Cayman Islands,NA,USD,500000000,500000000,USD,500000000,500000000
